unidade;setor;ano;mes;exames_img;exame_img_por_paciente;exames_lab;exame_lab_por_paciente
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;6;16;;0;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;6;0;;9;
CHPB;UIP-MASCULINA/CHPB/CHB;2024;6;3;0,15;42;2,1
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2024;6;17;5,666666666666667;0;0,0
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;6;2;0,09523809523809523;282;13,428571428571429
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;7;0;;3;
CHPB;UIP-FEMININA/CHPB/CHB;2024;7;0;0,0;25;5,0
CHPB;UIP-MASCULINA/CHPB/CHB;2024;7;15;0,75;433;21,65
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;7;22;1,1578947368421053;1266;66,63157894736842
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;8;3;;31;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;8;7;;28;
CHPB;UIP-FEMININA/CHPB/CHB;2024;8;2;0,15384615384615385;291;22,384615384615383
CHPB;UIP-MASCULINA/CHPB/CHB;2024;8;7;0,4666666666666667;311;20,733333333333334
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;8;17;1,0625;897;56,0625
CHPB;CAC/CHPB/CHB;2024;9;0;;12;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;9;5;;15;
CHPB;UIP-FEMININA/CHPB/CHB;2024;9;6;2,0;128;42,666666666666664
CHPB;UIP-MASCULINA/CHPB/CHB;2024;9;19;0,9047619047619048;375;17,857142857142858
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;9;10;0,8333333333333334;678;56,5
CHPB;CAC/CHPB/CHB;2024;10;0;;16;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;10;5;;21;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;10;2;;26;
CHPB;UIP-FEMININA/CHPB/CHB;2024;10;4;0,2857142857142857;270;19,285714285714285
CHPB;UIP-MASCULINA/CHPB/CHB;2024;10;8;0,47058823529411764;321;18,88235294117647
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;10;27;0,9642857142857143;913;32,607142857142854
CHPB;CAC/CHPB/CHB;2024;11;0;;24;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;11;0;0,0;206;206,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;11;1;1,0;134;134,0
CHPB;UIP-FEMININA/CHPB/CHB;2024;11;11;0,9166666666666666;409;34,083333333333336
CHPB;UIP-MASCULINA/CHPB/CHB;2024;11;2;0,09090909090909091;314;14,272727272727273
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;11;8;0,4;622;31,1
CHPB;CAC/CHPB/CHB;2024;12;0;;22;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;12;2;;1;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;12;2;;59;
CHPB;UIP-FEMININA/CHPB/CHB;2024;12;5;0,7142857142857143;216;30,857142857142858
CHPB;UIP-MASCULINA/CHPB/CHB;2024;12;8;0,4444444444444444;301;16,72222222222222
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2024;12;15;1,1538461538461537;436;33,53846153846154
CHPB;CAC/CHPB/CHB;2025;1;1;;2;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;1;0;;12;
CHPB;UIP-FEMININA/CHPB/CHB;2025;1;4;0,4444444444444444;188;20,88888888888889
CHPB;UIP-MASCULINA/CHPB/CHB;2025;1;11;0,4230769230769231;357;13,73076923076923
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;1;11;0,6470588235294118;848;49,88235294117647
CHPB;CAC/CHPB/CHB;2025;2;0;;9;
CHPB;UIP-FEMININA/CHPB/CHB;2025;2;4;0,2857142857142857;380;27,142857142857142
CHPB;UIP-MASCULINA/CHPB/CHB;2025;2;17;0,8947368421052632;356;18,736842105263158
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;2;14;0,8235294117647058;717;42,1764705882353
CHPB;CAC/CHPB/CHB;2025;3;1;;4;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;3;5;;10;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;3;2;;7;
CHPB;UIP-FEMININA/CHPB/CHB;2025;3;7;0,6363636363636364;236;21,454545454545453
CHPB;UIP-MASCULINA/CHPB/CHB;2025;3;0;0,0;222;20,181818181818183
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;3;29;1,9333333333333333;642;42,8
CHPB;CAC/CHPB/CHB;2025;4;1;;54;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;4;0;;15;
CHPB;UIP-FEMININA/CHPB/CHB;2025;4;8;1,0;228;28,5
CHPB;UIP-MASCULINA/CHPB/CHB;2025;4;23;1,4375;401;25,0625
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;4;23;1,4375;389;24,3125
CHPB;CAC/CHPB/CHB;2025;5;0;;19;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;5;2;;0;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;5;2;;24;
CHPB;UIP-FEMININA/CHPB/CHB;2025;5;10;0,8333333333333334;300;25,0
CHPB;UIP-MASCULINA/CHPB/CHB;2025;5;7;0,4375;337;21,0625
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;5;14;0,5833333333333334;563;23,458333333333332
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;6;2;;17;
CHPB;UIP-FEMININA/CHPB/CHB;2025;6;12;1,5;313;39,125
CHPB;UIP-MASCULINA/CHPB/CHB;2025;6;20;1,1111111111111112;554;30,77777777777778
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;6;19;0,95;626;31,3
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;7;1;;11;
CHPB;UIP-FEMININA/CHPB/CHB;2025;7;5;0,4166666666666667;357;29,75
CHPB;UIP-MASCULINA/CHPB/CHB;2025;7;11;0,6111111111111112;338;18,77777777777778
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;7;20;0,7142857142857143;998;35,642857142857146
CHPB;CAC/CHPB/CHB;2025;8;0;;23;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;8;0;;11;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;8;2;;16;
CHPB;UIP-FEMININA/CHPB/CHB;2025;8;3;0,375;213;26,625
